u,v,label,score,model,group,case
A000254,A000257,1,0.713130347463902,Node2Vec+LR(Hadamard),Embedding,case1
A000126,A000391,1,0.7007030465645496,Node2Vec+LR(Hadamard),Embedding,case1
A000297,A000348,1,0.9953559066448905,Node2Vec+LR(Hadamard),Embedding,case1
A000286,A000432,1,0.9198550359538675,Node2Vec+LR(Hadamard),Embedding,case1
A000158,A000426,1,0.16719684157004214,Node2Vec+LR(Hadamard),Embedding,case1
A000263,A000424,1,0.6242237219435554,Node2Vec+LR(Hadamard),Embedding,case1
A000087,A000298,1,0.6399063702470793,Node2Vec+LR(Hadamard),Embedding,case1
A000362,A000422,1,0.9994733036648165,Node2Vec+LR(Hadamard),Embedding,case1
A000030,A000174,1,0.9999354410671909,Node2Vec+LR(Hadamard),Embedding,case1
A000019,A000554,1,0.9443551911404791,Node2Vec+LR(Hadamard),Embedding,case1
A000323,A000412,1,0.6866570596490268,Node2Vec+LR(Hadamard),Embedding,case1
A000100,A000197,1,0.9789033219440575,Node2Vec+LR(Hadamard),Embedding,case1
A000424,A000478,1,0.9939888515679395,Node2Vec+LR(Hadamard),Embedding,case1
A000125,A000403,1,0.5803976296111693,Node2Vec+LR(Hadamard),Embedding,case1
A000034,A000274,1,0.7498041572362973,Node2Vec+LR(Hadamard),Embedding,case1
A000102,A000532,1,0.9993216831641419,Node2Vec+LR(Hadamard),Embedding,case1
A000044,A000454,1,0.9870071834404646,Node2Vec+LR(Hadamard),Embedding,case1
A000192,A000195,1,0.9977250748656801,Node2Vec+LR(Hadamard),Embedding,case1
A000303,A000451,1,0.9976323700357035,Node2Vec+LR(Hadamard),Embedding,case1
A000159,A000256,1,0.4856814531366351,Node2Vec+LR(Hadamard),Embedding,case1
A000070,A000284,1,0.9788368231672286,Node2Vec+LR(Hadamard),Embedding,case1
A000162,A000187,1,0.9644189974036451,Node2Vec+LR(Hadamard),Embedding,case1
A000156,A000343,1,0.8952145391626215,Node2Vec+LR(Hadamard),Embedding,case1
A000093,A000333,1,0.6854049477571138,Node2Vec+LR(Hadamard),Embedding,case1
A000333,A000466,1,0.9996042798150491,Node2Vec+LR(Hadamard),Embedding,case1
A000115,A000381,1,0.8921085073920525,Node2Vec+LR(Hadamard),Embedding,case1
A000357,A000465,1,0.9845422720590341,Node2Vec+LR(Hadamard),Embedding,case1
A000345,A000439,1,0.9999988293204307,Node2Vec+LR(Hadamard),Embedding,case1
A000311,A000487,1,0.9978933718805917,Node2Vec+LR(Hadamard),Embedding,case1
A000031,A000331,1,0.9901265757975702,Node2Vec+LR(Hadamard),Embedding,case1
A000281,A000351,1,0.22864330235337646,Node2Vec+LR(Hadamard),Embedding,case1
A000303,A000422,1,0.9989815925453445,Node2Vec+LR(Hadamard),Embedding,case1
A000076,A000406,1,0.9999618561689875,Node2Vec+LR(Hadamard),Embedding,case1
A000242,A000398,1,0.5604465347040529,Node2Vec+LR(Hadamard),Embedding,case1
A000380,A000537,1,0.12351156097545869,Node2Vec+LR(Hadamard),Embedding,case1
A000108,A000484,1,0.9999826005302245,Node2Vec+LR(Hadamard),Embedding,case1
A000071,A000127,1,0.999999999582114,Node2Vec+LR(Hadamard),Embedding,case1
A000195,A000309,1,0.999887961501035,Node2Vec+LR(Hadamard),Embedding,case1
A000168,A000546,1,0.741890952290325,Node2Vec+LR(Hadamard),Embedding,case1
A000116,A000522,1,0.9999284370753463,Node2Vec+LR(Hadamard),Embedding,case1
A000305,A000516,1,0.9496388418717173,Node2Vec+LR(Hadamard),Embedding,case1
A000348,A000537,1,0.007923074039243643,Node2Vec+LR(Hadamard),Embedding,case1
A000255,A000387,1,0.0356903160999249,Node2Vec+LR(Hadamard),Embedding,case1
A000096,A000495,1,0.9989447665908916,Node2Vec+LR(Hadamard),Embedding,case1
A000346,A000508,1,0.9999804553611439,Node2Vec+LR(Hadamard),Embedding,case1
A000141,A000259,1,0.8460270699904242,Node2Vec+LR(Hadamard),Embedding,case1
A000416,A000515,1,0.33141221485713035,Node2Vec+LR(Hadamard),Embedding,case1
A000425,A000515,1,0.13264408219929696,Node2Vec+LR(Hadamard),Embedding,case1
A000025,A000330,1,0.559205881954618,Node2Vec+LR(Hadamard),Embedding,case1
A000100,A000425,1,0.6737697587645516,Node2Vec+LR(Hadamard),Embedding,case1
A000514,A000569,1,0.9998616794500977,Node2Vec+LR(Hadamard),Embedding,case1
A000013,A000096,1,0.9982728674146945,Node2Vec+LR(Hadamard),Embedding,case1
A000474,A000487,1,0.9298932223668679,Node2Vec+LR(Hadamard),Embedding,case1
A000139,A000206,1,0.9659154425613635,Node2Vec+LR(Hadamard),Embedding,case1
A000177,A000242,1,0.9170485228622476,Node2Vec+LR(Hadamard),Embedding,case1
A000116,A000192,1,0.997644410172544,Node2Vec+LR(Hadamard),Embedding,case1
A000029,A000171,1,0.9990769193803426,Node2Vec+LR(Hadamard),Embedding,case1
A000093,A000442,1,0.5494947248439975,Node2Vec+LR(Hadamard),Embedding,case1
A000258,A000407,1,0.77454139246455,Node2Vec+LR(Hadamard),Embedding,case1
A000373,A000515,1,0.4062001082772738,Node2Vec+LR(Hadamard),Embedding,case1
A000139,A000143,1,0.14302891897386422,Node2Vec+LR(Hadamard),Embedding,case1
A000094,A000143,1,0.446554281428187,Node2Vec+LR(Hadamard),Embedding,case1
A000320,A000430,1,0.9557776913720538,Node2Vec+LR(Hadamard),Embedding,case1
A000214,A000511,1,0.9998407973566452,Node2Vec+LR(Hadamard),Embedding,case1
A000174,A000274,1,0.4954131065709724,Node2Vec+LR(Hadamard),Embedding,case1
A000308,A000381,1,0.07295451153572813,Node2Vec+LR(Hadamard),Embedding,case1
A000193,A000444,1,0.9972995930096354,Node2Vec+LR(Hadamard),Embedding,case1
A000061,A000343,1,0.9985323197572594,Node2Vec+LR(Hadamard),Embedding,case1
A000114,A000531,1,0.6729903029934526,Node2Vec+LR(Hadamard),Embedding,case1
A000109,A000255,1,0.9171391702342531,Node2Vec+LR(Hadamard),Embedding,case1
A000391,A000420,1,0.47710786463439503,Node2Vec+LR(Hadamard),Embedding,case1
A000256,A000291,1,0.9843797957812143,Node2Vec+LR(Hadamard),Embedding,case1
A000248,A000300,1,0.9920304142002669,Node2Vec+LR(Hadamard),Embedding,case1
A000114,A000367,1,0.4916415941792063,Node2Vec+LR(Hadamard),Embedding,case1
A000391,A000559,1,0.9253922655382807,Node2Vec+LR(Hadamard),Embedding,case1
A000269,A000467,1,0.9569212404547128,Node2Vec+LR(Hadamard),Embedding,case1
A000183,A000490,1,0.9681589307464342,Node2Vec+LR(Hadamard),Embedding,case1
A000268,A000473,1,0.999746506059458,Node2Vec+LR(Hadamard),Embedding,case1
A000176,A000212,1,0.988937588072561,Node2Vec+LR(Hadamard),Embedding,case1
A000158,A000428,1,0.6461530129967401,Node2Vec+LR(Hadamard),Embedding,case1
A000096,A000434,1,0.9779659165293317,Node2Vec+LR(Hadamard),Embedding,case1
A000058,A000284,1,0.9511231889500344,Node2Vec+LR(Hadamard),Embedding,case1
A000226,A000375,1,0.9999883857137413,Node2Vec+LR(Hadamard),Embedding,case1
A000210,A000322,1,0.9999869532160223,Node2Vec+LR(Hadamard),Embedding,case1
A000040,A000342,1,0.9997598359341964,Node2Vec+LR(Hadamard),Embedding,case1
A000401,A000549,1,0.8514618574650211,Node2Vec+LR(Hadamard),Embedding,case1
A000020,A000378,1,0.9883106680468197,Node2Vec+LR(Hadamard),Embedding,case1
A000047,A000411,1,0.9995308667200663,Node2Vec+LR(Hadamard),Embedding,case1
A000064,A000435,1,0.9930629048177829,Node2Vec+LR(Hadamard),Embedding,case1
A000296,A000306,1,0.9933721499760638,Node2Vec+LR(Hadamard),Embedding,case1
A000067,A000220,1,0.9999994955942166,Node2Vec+LR(Hadamard),Embedding,case1
A000443,A000518,1,0.9993555098933047,Node2Vec+LR(Hadamard),Embedding,case1
A000342,A000373,1,0.9842807028278379,Node2Vec+LR(Hadamard),Embedding,case1
A000181,A000467,1,0.718698604465339,Node2Vec+LR(Hadamard),Embedding,case1
A000274,A000369,1,0.015504326971457694,Node2Vec+LR(Hadamard),Embedding,case1
A000028,A000409,1,0.9983720563927964,Node2Vec+LR(Hadamard),Embedding,case1
A000170,A000274,1,0.03737704873439456,Node2Vec+LR(Hadamard),Embedding,case1
A000169,A000380,1,0.4927125986207714,Node2Vec+LR(Hadamard),Embedding,case1
A000274,A000349,1,0.2711694856796191,Node2Vec+LR(Hadamard),Embedding,case1
A000197,A000320,1,0.8585289387964804,Node2Vec+LR(Hadamard),Embedding,case1
A000239,A000332,1,0.9491506499502144,Node2Vec+LR(Hadamard),Embedding,case1
A000110,A000213,1,0.9994097882163231,Node2Vec+LR(Hadamard),Embedding,case1
A000254,A000543,1,0.9994162735968963,Node2Vec+LR(Hadamard),Embedding,case1
A000006,A000362,1,0.9976393582593709,Node2Vec+LR(Hadamard),Embedding,case1
A000340,A000556,1,0.9949691322752661,Node2Vec+LR(Hadamard),Embedding,case1
A000377,A000378,1,0.6018221721857264,Node2Vec+LR(Hadamard),Embedding,case1
A000048,A000374,1,0.9376555843282421,Node2Vec+LR(Hadamard),Embedding,case1
A000344,A000351,1,0.15156615730623776,Node2Vec+LR(Hadamard),Embedding,case1
A000246,A000434,1,0.9930158095846837,Node2Vec+LR(Hadamard),Embedding,case1
A000397,A000543,1,0.9999859513191384,Node2Vec+LR(Hadamard),Embedding,case1
A000115,A000333,1,0.9333720622828845,Node2Vec+LR(Hadamard),Embedding,case1
A000416,A000546,1,0.7918796317408613,Node2Vec+LR(Hadamard),Embedding,case1
A000306,A000383,1,0.6125294586862569,Node2Vec+LR(Hadamard),Embedding,case1
A000126,A000435,1,0.9988372404172496,Node2Vec+LR(Hadamard),Embedding,case1
A000186,A000430,1,0.1268693376585192,Node2Vec+LR(Hadamard),Embedding,case1
A000066,A000080,1,0.2796636956063724,Node2Vec+LR(Hadamard),Embedding,case1
A000192,A000196,1,0.5303027935161349,Node2Vec+LR(Hadamard),Embedding,case1
A000003,A000382,1,0.9921056358155853,Node2Vec+LR(Hadamard),Embedding,case1
A000377,A000509,1,0.9996008223277847,Node2Vec+LR(Hadamard),Embedding,case1
A000374,A000478,1,0.9944636969815213,Node2Vec+LR(Hadamard),Embedding,case1
A000114,A000378,1,0.03552420425155235,Node2Vec+LR(Hadamard),Embedding,case1
A000217,A000367,1,0.9401463485286784,Node2Vec+LR(Hadamard),Embedding,case1
A000410,A000562,1,0.9982165746279602,Node2Vec+LR(Hadamard),Embedding,case1
A000080,A000462,1,0.57631183338321,Node2Vec+LR(Hadamard),Embedding,case1
A000225,A000564,1,0.9922102435249965,Node2Vec+LR(Hadamard),Embedding,case1
A000047,A000226,1,0.9998058106476229,Node2Vec+LR(Hadamard),Embedding,case1
A000293,A000482,1,0.9999961317290076,Node2Vec+LR(Hadamard),Embedding,case1
A000129,A000155,1,0.7960663089639721,Node2Vec+LR(Hadamard),Embedding,case1
A000304,A000560,1,0.9824529499052688,Node2Vec+LR(Hadamard),Embedding,case1
A000281,A000348,1,0.04385387022072537,Node2Vec+LR(Hadamard),Embedding,case1
A000165,A000267,1,0.9996412779742874,Node2Vec+LR(Hadamard),Embedding,case1
A000411,A000525,1,0.999995264707867,Node2Vec+LR(Hadamard),Embedding,case1
A000068,A000429,1,0.9999999963050199,Node2Vec+LR(Hadamard),Embedding,case1
A000248,A000370,1,0.9583860451874667,Node2Vec+LR(Hadamard),Embedding,case1
A000427,A000472,1,0.9724409083089617,Node2Vec+LR(Hadamard),Embedding,case1
A000240,A000270,1,0.9997187416841202,Node2Vec+LR(Hadamard),Embedding,case1
A000001,A000262,1,0.9659496779086812,Node2Vec+LR(Hadamard),Embedding,case1
A000274,A000473,1,0.9856093506160716,Node2Vec+LR(Hadamard),Embedding,case1
A000141,A000210,1,0.7957188441756295,Node2Vec+LR(Hadamard),Embedding,case1
A000208,A000329,1,0.9904440033461305,Node2Vec+LR(Hadamard),Embedding,case1
A000010,A000137,1,0.847370418759214,Node2Vec+LR(Hadamard),Embedding,case1
A000048,A000137,1,0.928404046872792,Node2Vec+LR(Hadamard),Embedding,case1
A000158,A000545,1,0.26320440079843826,Node2Vec+LR(Hadamard),Embedding,case1
A000475,A000477,1,0.006757091637862494,Node2Vec+LR(Hadamard),Embedding,case1
A000136,A000209,1,0.9965317972431543,Node2Vec+LR(Hadamard),Embedding,case1
A000105,A000503,1,0.908759074528681,Node2Vec+LR(Hadamard),Embedding,case1
A000026,A000303,1,0.9956331694878461,Node2Vec+LR(Hadamard),Embedding,case1
A000106,A000124,1,0.7405732452220029,Node2Vec+LR(Hadamard),Embedding,case1
A000037,A000454,1,0.9801112011551184,Node2Vec+LR(Hadamard),Embedding,case1
A000381,A000426,1,0.31497197674253935,Node2Vec+LR(Hadamard),Embedding,case1
A000206,A000320,1,0.9977932907791718,Node2Vec+LR(Hadamard),Embedding,case1
A000496,A000538,1,0.9409409030876174,Node2Vec+LR(Hadamard),Embedding,case1
A000030,A000171,1,0.9999529125096104,Node2Vec+LR(Hadamard),Embedding,case1
A000407,A000553,1,0.6582701729763419,Node2Vec+LR(Hadamard),Embedding,case1
A000241,A000255,1,0.7060935006848692,Node2Vec+LR(Hadamard),Embedding,case1
A000414,A000516,1,0.9021448176803805,Node2Vec+LR(Hadamard),Embedding,case1
A000054,A000458,1,0.9991471635128446,Node2Vec+LR(Hadamard),Embedding,case1
A000055,A000166,1,0.9632456535948521,Node2Vec+LR(Hadamard),Embedding,case1
A000321,A000560,1,0.8080770514033401,Node2Vec+LR(Hadamard),Embedding,case1
A000199,A000354,1,0.13386078297154,Node2Vec+LR(Hadamard),Embedding,case1
A000251,A000454,1,0.9990373886863115,Node2Vec+LR(Hadamard),Embedding,case1
A000072,A000219,1,0.9999938172476058,Node2Vec+LR(Hadamard),Embedding,case1
A000114,A000533,1,0.9999652838054677,Node2Vec+LR(Hadamard),Embedding,case1
A000237,A000477,1,0.1902288504120691,Node2Vec+LR(Hadamard),Embedding,case1
A000278,A000398,1,0.9700687959301431,Node2Vec+LR(Hadamard),Embedding,case1
A000181,A000569,1,0.11113740476680048,Node2Vec+LR(Hadamard),Embedding,case1
A000093,A000493,1,0.3362530748465685,Node2Vec+LR(Hadamard),Embedding,case1
A000248,A000305,1,0.9681746316499695,Node2Vec+LR(Hadamard),Embedding,case1
A000401,A000467,1,0.1496457635357067,Node2Vec+LR(Hadamard),Embedding,case1
A000381,A000382,1,0.4017887846717453,Node2Vec+LR(Hadamard),Embedding,case1
A000349,A000493,1,0.6107076761056398,Node2Vec+LR(Hadamard),Embedding,case1
A000090,A000206,1,0.9916680584204595,Node2Vec+LR(Hadamard),Embedding,case1
A000370,A000426,1,0.6451885272727714,Node2Vec+LR(Hadamard),Embedding,case1
A000137,A000321,1,0.9012680802394577,Node2Vec+LR(Hadamard),Embedding,case1
A000175,A000552,1,0.9834264651534312,Node2Vec+LR(Hadamard),Embedding,case1
A000333,A000550,1,0.9777731848175459,Node2Vec+LR(Hadamard),Embedding,case1
A000164,A000425,1,0.9232963052989124,Node2Vec+LR(Hadamard),Embedding,case1
A000187,A000305,1,0.9680605288250116,Node2Vec+LR(Hadamard),Embedding,case1
A000230,A000468,1,0.8492870259578857,Node2Vec+LR(Hadamard),Embedding,case1
A000191,A000417,1,0.9771909583222004,Node2Vec+LR(Hadamard),Embedding,case1
A000051,A000279,1,0.9999804683714413,Node2Vec+LR(Hadamard),Embedding,case1
A000109,A000388,1,0.998797297142973,Node2Vec+LR(Hadamard),Embedding,case1
A000099,A000312,1,0.09088632311258509,Node2Vec+LR(Hadamard),Embedding,case1
A000028,A000471,1,0.996781237960658,Node2Vec+LR(Hadamard),Embedding,case1
A000143,A000323,1,0.10886418016281724,Node2Vec+LR(Hadamard),Embedding,case1
A000010,A000274,1,0.05926071968749149,Node2Vec+LR(Hadamard),Embedding,case1
A000272,A000381,1,0.013178705818325923,Node2Vec+LR(Hadamard),Embedding,case1
A000255,A000257,1,0.46941548590916965,Node2Vec+LR(Hadamard),Embedding,case1
A000101,A000191,1,0.8093938002366277,Node2Vec+LR(Hadamard),Embedding,case1
A000272,A000382,1,0.022038080457462007,Node2Vec+LR(Hadamard),Embedding,case1
A000004,A000413,1,0.2049321606898101,Node2Vec+LR(Hadamard),Embedding,case1
A000031,A000205,1,0.9973234243494423,Node2Vec+LR(Hadamard),Embedding,case1
A000365,A000535,1,0.9999991032844927,Node2Vec+LR(Hadamard),Embedding,case1
A000300,A000305,1,0.7649751860250886,Node2Vec+LR(Hadamard),Embedding,case1
A000026,A000422,1,0.9995238293457955,Node2Vec+LR(Hadamard),Embedding,case1
A000100,A000398,1,0.49548273836506995,Node2Vec+LR(Hadamard),Embedding,case1
A000029,A000255,1,0.5261864518097291,Node2Vec+LR(Hadamard),Embedding,case1
A000012,A000493,1,0.9745682428489773,Node2Vec+LR(Hadamard),Embedding,case1
A000142,A000274,1,0.026191800164658996,Node2Vec+LR(Hadamard),Embedding,case1
A000229,A000507,1,0.999859689709136,Node2Vec+LR(Hadamard),Embedding,case1
A000105,A000374,1,0.9202504758179351,Node2Vec+LR(Hadamard),Embedding,case1
A000122,A000274,1,0.667189073618263,Node2Vec+LR(Hadamard),Embedding,case1
A000333,A000381,1,0.05773480659582762,Node2Vec+LR(Hadamard),Embedding,case1
A000205,A000387,1,0.9895928438011582,Node2Vec+LR(Hadamard),Embedding,case1
A000095,A000139,1,0.5052457877046553,Node2Vec+LR(Hadamard),Embedding,case1
A000056,A000178,1,0.47240123012539376,Node2Vec+LR(Hadamard),Embedding,case1
A000378,A000390,1,0.966393246622118,Node2Vec+LR(Hadamard),Embedding,case1
A000260,A000268,1,0.9990160807413749,Node2Vec+LR(Hadamard),Embedding,case1
A000262,A000477,1,0.144448530435391,Node2Vec+LR(Hadamard),Embedding,case1
A000198,A000249,1,0.9995714510435401,Node2Vec+LR(Hadamard),Embedding,case1
A000107,A000477,1,0.7114173997006165,Node2Vec+LR(Hadamard),Embedding,case1
A000432,A000540,1,0.8651942024721895,Node2Vec+LR(Hadamard),Embedding,case1
A000198,A000378,1,0.9931423914043672,Node2Vec+LR(Hadamard),Embedding,case1
A000475,A000566,1,0.8076273890696282,Node2Vec+LR(Hadamard),Embedding,case1
A000177,A000531,1,0.2977517899432065,Node2Vec+LR(Hadamard),Embedding,case1
A000087,A000110,1,0.41774616524142516,Node2Vec+LR(Hadamard),Embedding,case1
A000042,A000455,1,0.9999989282665929,Node2Vec+LR(Hadamard),Embedding,case1
A000043,A000451,1,0.9992172638265564,Node2Vec+LR(Hadamard),Embedding,case1
A000321,A000538,1,0.9795310015353113,Node2Vec+LR(Hadamard),Embedding,case1
A000186,A000229,1,0.972465174979982,Node2Vec+LR(Hadamard),Embedding,case1
A000156,A000244,1,0.927934063296773,Node2Vec+LR(Hadamard),Embedding,case1
A000182,A000197,1,0.987484887385955,Node2Vec+LR(Hadamard),Embedding,case1
A000179,A000321,1,0.9848168403087735,Node2Vec+LR(Hadamard),Embedding,case1
A000197,A000255,1,0.2503645862273258,Node2Vec+LR(Hadamard),Embedding,case1
A000024,A000473,1,0.9999939064900542,Node2Vec+LR(Hadamard),Embedding,case1
A000334,A000559,1,0.9854125845214062,Node2Vec+LR(Hadamard),Embedding,case1
A000319,A000474,1,0.9941723206178112,Node2Vec+LR(Hadamard),Embedding,case1
A000310,A000363,1,0.9995464470063616,Node2Vec+LR(Hadamard),Embedding,case1
A000044,A000056,1,0.9844214463270271,Node2Vec+LR(Hadamard),Embedding,case1
A000026,A000518,1,0.9995990603893387,Node2Vec+LR(Hadamard),Embedding,case1
A000177,A000332,1,0.025550393052808096,Node2Vec+LR(Hadamard),Embedding,case1
A000380,A000467,1,0.08649825969348134,Node2Vec+LR(Hadamard),Embedding,case1
A000143,A000402,1,0.9225026399594085,Node2Vec+LR(Hadamard),Embedding,case1
A000462,A000485,1,0.9709255511480573,Node2Vec+LR(Hadamard),Embedding,case1
A000047,A000379,1,0.9998402545897734,Node2Vec+LR(Hadamard),Embedding,case1
A000109,A000430,1,0.9175864214127496,Node2Vec+LR(Hadamard),Embedding,case1
A000087,A000213,1,0.8643982141763323,Node2Vec+LR(Hadamard),Embedding,case1
A000190,A000506,1,0.22280706331185984,Node2Vec+LR(Hadamard),Embedding,case1
A000059,A000448,1,0.9999091786987939,Node2Vec+LR(Hadamard),Embedding,case1
A000084,A000274,1,0.07759966061938398,Node2Vec+LR(Hadamard),Embedding,case1
A000195,A000318,1,0.9998699867847126,Node2Vec+LR(Hadamard),Embedding,case1
A000109,A000513,1,0.29605236796875384,Node2Vec+LR(Hadamard),Embedding,case1
A000033,A000125,1,0.9864769025730731,Node2Vec+LR(Hadamard),Embedding,case1
A000189,A000391,1,0.31045124260894363,Node2Vec+LR(Hadamard),Embedding,case1
A000476,A000531,1,0.24526326110549182,Node2Vec+LR(Hadamard),Embedding,case1
A000253,A000274,1,0.9707491287392289,Node2Vec+LR(Hadamard),Embedding,case1
A000043,A000518,1,0.9996735116753571,Node2Vec+LR(Hadamard),Embedding,case1
A000023,A000477,1,0.800644409741506,Node2Vec+LR(Hadamard),Embedding,case1
A000319,A000362,1,0.9993983256853848,Node2Vec+LR(Hadamard),Embedding,case1
A000249,A000266,1,0.8889215034270895,Node2Vec+LR(Hadamard),Embedding,case1
A000008,A000349,1,0.9977277360311956,Node2Vec+LR(Hadamard),Embedding,case1
A000042,A000082,1,0.9999712663302986,Node2Vec+LR(Hadamard),Embedding,case1
A000398,A000505,1,0.9493864866023891,Node2Vec+LR(Hadamard),Embedding,case1
A000105,A000230,1,0.07901604143838557,Node2Vec+LR(Hadamard),Embedding,case1
A000073,A000229,1,0.9999821417875424,Node2Vec+LR(Hadamard),Embedding,case1
A000177,A000493,1,0.324188051843375,Node2Vec+LR(Hadamard),Embedding,case1
A000205,A000420,1,0.558241990102369,Node2Vec+LR(Hadamard),Embedding,case1
A000200,A000569,1,0.4436897132285645,Node2Vec+LR(Hadamard),Embedding,case1
A000094,A000373,1,0.7645294167953967,Node2Vec+LR(Hadamard),Embedding,case1
A000177,A000225,1,0.08276580183511226,Node2Vec+LR(Hadamard),Embedding,case1
A000026,A000362,1,0.9974334614892736,Node2Vec+LR(Hadamard),Embedding,case1
